date,active_positions
2015-03-31,16
2015-04-30,12
2015-05-29,14
2015-06-30,13
2015-07-31,12
2015-08-31,14
2015-09-30,12
2015-10-30,14
2015-11-30,12
2015-12-31,13
2016-01-29,13
2016-02-29,16
2016-03-31,15
2016-04-29,12
2016-05-31,15
2016-06-30,11
2016-07-29,11
2016-08-31,13
2016-09-30,12
2016-10-31,11
2016-11-30,20
2016-12-30,13
2017-01-31,13
2017-02-28,10
2017-03-31,14
2017-04-28,19
2017-05-31,12
2017-06-30,15
2017-07-31,11
2017-08-31,19
2017-09-29,11
2017-10-31,14
2017-11-30,17
2017-12-29,20
2018-01-31,12
2018-02-28,13
2018-03-29,16
2018-04-30,12
2018-05-31,11
2018-06-29,12
2018-07-31,13
2018-08-31,15
2018-09-28,15
2018-10-31,13
2018-11-30,12
2018-12-31,14
2019-01-31,12
2019-02-28,11
2019-03-29,12
2019-04-30,12
2019-05-31,11
2019-06-28,14
2019-07-31,11
2019-08-30,20
2019-09-30,11
2019-10-31,11
2019-11-29,12
2019-12-31,20
2020-01-31,16
2020-02-28,16
2020-03-31,10
2020-04-30,12
2020-05-29,11
2020-06-30,13
2020-07-31,14
2020-08-31,15
2020-09-30,14
2020-10-30,11
2020-11-30,11
2020-12-31,14
2021-01-29,16
2021-02-26,11
2021-03-31,11
2021-04-30,15
2021-05-28,11
2021-06-30,18
2021-07-30,12
2021-08-31,13
2021-09-30,13
2021-10-29,11
2021-11-30,12
2021-12-31,13
2022-01-31,13
2022-02-28,11
2022-03-31,18
2022-04-29,17
2022-05-31,12
2022-06-30,11
2022-07-29,17
2022-08-31,11
2022-09-30,12
2022-10-31,10
2022-11-30,12
2022-12-30,13
2023-01-31,14
2023-02-28,12
2023-03-31,16
2023-04-28,11
2023-05-31,13
2023-06-30,15
2023-07-31,13
2023-08-31,15
2023-09-29,19
2023-10-31,18
2023-11-30,14
2023-12-29,11
2024-01-31,13
2024-02-29,16
2024-03-28,14
2024-04-30,16
2024-05-31,19
2024-06-28,16
2024-07-31,11
2024-08-30,13
2024-09-30,11
2024-10-31,16
2024-11-29,15
2024-12-31,12
2025-01-31,19
2025-02-28,13
2025-03-31,13
2025-04-30,13
2025-05-30,14
2025-06-30,15
2025-07-31,12
2025-08-29,11
2025-09-30,16
2025-10-31,15
2025-11-28,14
2025-12-31,14
2026-01-30,13
2026-02-27,13
2026-03-31,12
2026-04-30,15
2026-05-29,11
2026-06-30,12
2026-07-31,15
2026-08-31,14
2026-09-01,14
